ITEM_SEQ,DRUG_NAME,COMPANY,CLASS_NAME,ETC_OTC_NAME,FORM_CODE,DRUG_SHAPE,COLOR_CLASS1,PRINT_FRONT,PRINT_BACK,MARK_CODE,CHART,IMAGE_URL,EE_DOC,UD_DOC,NB_DOC
200902506,에델피스연질캡슐(디펜히드라민염산염),삼진제약(주),최면진정제,OTC,"연질캡슐제, 액상",타원형,"청록, 투명",SJED,,,무색 투명한 액상의 내용물을 함유한 연청록색의 볼록한 타원형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MgMniIZaON,,,
200902577,제이에스콜드정,제이에스제약(주),해열.진통.소염제,OTC,필름코팅정,장방형,분홍,CORE,,,연분홍색의 장방형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400017,,,
200902743,오메콜캡슐,청계제약(주),해열.진통.소염제,OTC,"경질캡슐제, 산제",장방형,파랑,SCP OM,,,"백색-미황색의 가루가 든 상부 청색, 하부 흰색의 경질캡슐제",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400026,,,
200902749,리드비타큐정,(유)한풍제약,혼합비타민제(비타민AD 혼합제제를 제외),OTC,필름코팅정,타원형,빨강,GHT,,,주황색의 타원형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400029,,,
200902791,비타엔큐연질캡슐,동화약품(주),기타의 비타민제,OTC,"연질캡슐제, 현탁상",장방형,갈색,D-W VQ,,,황갈색의 내용물을 함유하는 암갈색의 장방형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661645880000015,,,
200902801,카페그린정,청계제약(주),해열.진통.소염제,OTC,필름코팅정,타원형,파랑,SCP,DL,,연한 청색의 타원형 장용 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400047,,,
200902805,트리답티브정,한국엠에스디(주),동맥경화용제,ETC,다층정,장방형,하양,552,,,흰색 또는 엷은 흰색으로 한면에 ‘552’가 새겨진 양면이 볼록한 장방형의 서방성 이층정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147817442818700152,,,
200902876,코프노캡슐,(주)휴온스생명과학,진해거담제,OTC,"경질캡슐제, 산제",장방형,노랑,BTO CN,,,미황색 분말이 충진된 상하부 황색의 경질캡슐제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426416757400053,,,
200902884,이젠이캡슐,경진제약(주),치과구강용약,OTC,"경질캡슐제, 산제",장방형,파랑,이젠이 이젠이,,,"엷은 주황색가루가 든 상,하부 연청색의 경질 캡슐제",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mv12iojCfp,,,
200701086,스프라이셀정50밀리그램(다사티닙),(유)한국비엠에스제약,항악성종양제,ETC,필름코팅정,타원형,하양,BMS,528,,"흰색 내지 회백색의 양면이 볼록하고 타원형이며, 한쪽면에는 'BMS' 다른쪽면에는 ‘528’이 각인되어 있는 필름코팅정",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500035,,,
200403661,에너지톤연질캡슐,(주)알피바이오,기타의 비타민제,OTC,"연질캡슐제, 현탁상",장방형,갈색,RPENT,,,황색의 내용물이 든 암갈색의 장방형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500043,,,
200704968,토핀정25밀리그램(토피라메이트),대한뉴팜(주),항전간제,ETC,필름코팅정,원형,하양,마크분할선N,25,,흰색의 원형 필름코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147426395116500049,,,
200202184,디스톤골드연질캡슐,한미약품(주),혼합비타민제(비타민AD 혼합제제를 제외),OTC,"연질캡슐제, 현탁상",장방형,갈색,FT-CRE,,,황갈색의 내용물이 든 적갈색의 장방형의 연질캅셀제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900100,,,
200202185,콘로친300연질캡슐,한미약품(주),혼합비타민제(비타민AD 혼합제제를 제외),OTC,"연질캡슐제, 현탁상",장방형,갈색,FT-C300,,,황갈색의 내용물이 든 적갈색의 장방형 연질캅셀제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154661648918900094,,,
